Biosample ID	Population code
SAME123273	GBR
SAME123224	GBR
SAME123226	GBR
SAME123054	GBR
SAME124587	GBR
SAME124586	GBR
SAME124960	FIN
SAME124964	FIN
SAME123950	GBR
SAME125160	GBR
SAME125340	GBR
SAME125345	GBR
SAME122875	GBR
SAME122868	GBR
SAME123063	GBR
SAME123068	GBR
SAME123049	GBR
SAME123580	GBR
SAME123577	FIN
SAME123645	FIN
SAME123648	FIN
SAME124126	GBR
SAME124818	GBR
SAME124389	GBR
SAME123422	FIN
SAME122832	FIN
SAME123268	GBR
SAME122991	CHS
SAME122808	CHS
SAME125267	CHS
SAME123915	CHS
SAME124254	PUR
SAME124975	CHS
SAME123115	CHS
SAME123095	CHS
SAME123497	CHS
SAME123033	FIN
SAME125106	CHS
SAME124159	FIN
SAME124337	FIN
SAME124333	FIN
SAME123797	FIN
SAME125255	FIN
SAME124925	FIN
SAME125122	FIN
SAME125123	FIN
SAME123341	CHS
SAME123793	FIN
SAME123987	FIN
SAME123984	FIN
SAME124535	FIN
SAME124750	FIN
SAME122927	CHS
SAME124926	CHS
SAME1840273	CHS
SAME125390	PUR
SAME124663	CHS
SAME124824	CHS
SAME125010	CHS
SAME125007	CHS
SAME123085	CHS
SAME122901	CHS
SAME122902	CHS
SAME123436	PUR
SAME124247	CHS
SAME124456	CHS
SAME124452	CHS
SAME123516	CHS
SAME123058	PUR
SAME1840184	PUR
SAME123952	CDX
SAME123756	CDX
SAME125370	CHS
SAME125198	CHS
SAME1839285	CHS
SAME123891	CHS
SAME123684	CHS
SAME122932	CHS
SAME123769	CDX
SAME125248	PUR
SAME123234	CHS
SAME123605	CHS
SAME123675	PUR
SAME123483	CLM
SAME1840402	CLM
SAME1840127	CLM
SAME124052	CLM
SAME1839690	PUR
SAME124797	PUR
SAME124622	PUR
SAME124621	PUR
SAME123993	PUR
SAME124071	PUR
SAME125398	PUR
SAME125393	PUR
SAME123712	PUR
SAME123658	PUR
SAME1839767	PUR
SAME122826	PUR
SAME124792	PUR
SAME124927	PUR
SAME123654	PUR
SAME122815	CLM
SAME122996	CLM
SAME123000	CLM
SAME1839191	CLM
SAME125065	PUR
SAME125284	CLM
SAME125279	CLM
SAME123884	CLM
SAME123877	CLM
SAME124422	CLM
SAME122925	PUR
SAME123771	PUR
SAME123678	PUR
SAME124687	CLM
SAME124504	CLM
SAME125265	CLM
SAME124076	CLM
SAME1839796	PUR
SAME1839534	PUR
SAME124856	CLM
SAME124138	CLM
SAME124142	CLM
SAME124942	IBS
SAME1839032	CLM
SAME123429	CLM
SAME123539	CLM
SAME1840189	CLM
SAME1840251	CLM
SAME1840048	CLM
SAME122970	CLM
SAME1840234	PUR
SAME1839863	PUR
SAME1839619	PUR
SAME1839260	CLM
SAME124947	IBS
SAME124768	IBS
SAME124766	IBS
SAME124861	CLM
SAME124680	CLM
SAME125238	KHV
SAME123454	IBS
SAME123457	IBS
SAME123627	IBS
SAME123632	IBS
SAME123843	IBS
SAME125323	IBS
SAME125328	IBS
SAME125138	IBS
SAME125134	IBS
SAME123842	IBS
SAME124033	IBS
SAME123110	IBS
SAME124845	IBS
SAME123260	IBS
SAME123253	IBS
SAME123084	IBS
SAME125180	IBS
SAME1839681	IBS
SAME123291	IBS
SAME123284	IBS
SAME124653	IBS
SAME124008	CLM
SAME1840141	CLM
SAME124636	IBS
SAME124631	IBS
SAME124431	IBS
SAME124433	GBR
SAME124221	GBR
SAME124220	CDX
SAME1840343	ACB
SAME1839779	ACB
SAME123235	PEL
SAME123785	PEL
SAME1839109	ACB
SAME122844	ACB
SAME123026	PEL
SAME124302	CDX
SAME124299	CDX
SAME125380	CDX
SAME124521	CDX
SAME123554	KHV
SAME124144	PEL
SAME123977	PEL
SAME123979	PEL
SAME124530	PEL
SAME124323	PEL
SAME124331	PEL
SAME123591	PEL
SAME124151	PEL
SAME123200	KHV
SAME123195	KHV
SAME123400	KHV
SAME123394	KHV
SAME123557	KHV
SAME123535	KHV
SAME1839865	KHV
SAME1839628	ACB
SAME1839697	PEL
SAME1839407	PEL
SAME123620	PEL
SAME123622	ACB
SAME123443	ACB
SAME123446	KHV
SAME125307	KHV
SAME124020	KHV
SAME1839966	KHV
SAME1840035	KHV
SAME1839772	KHV
SAME125247	PEL
SAME1840091	ACB
SAME124741	PEL
SAME124739	PEL
SAME1839538	ACB
SAME1839596	KHV
SAME1839676	KHV
SAME124979	KHV
SAME123873	PEL
SAME123104	KHV
SAME123099	KHV
SAME124825	KHV
SAME1839724	KHV
SAME1839896	KHV
SAME124795	CDX
SAME124415	CDX
SAME123206	CDX
SAME1839994	PEL
SAME124279	PEL
SAME1839535	ACB
SAME1839674	ACB
SAME1840376	PEL
SAME1840177	ACB
SAME123755	PEL
SAME1840019	CDX
SAME1839997	CDX
SAME1839788	CDX
SAME1839754	CDX
SAME125039	CDX
SAME123715	IBS
SAME1839576	IBS
SAME1839374	IBS
SAME123519	IBS
SAME1839446	ACB
SAME1839081	PEL
SAME1839461	CDX
SAME1839207	CDX
SAME1840125	CDX
SAME1840180	CDX
SAME1839332	ACB
SAME1840230	GWD
SAME1839785	GWD
SAME1839751	PJL
SAME1839526	PJL
SAME1839662	PJL
SAME1839384	GWD
SAME1839973	GWD
SAME1839710	ACB
SAME1839858	ACB
SAME1839546	ACB
SAME1839838	GWD
SAME1839567	GWD
SAME1839366	ACB
SAME1839418	GWD
SAME1839199	PJL
SAME1840302	PJL
SAME1840277	PJL
SAME1840259	GWD
SAME1839617	PJL
SAME1839688	ACB
SAME1839150	ACB
SAME1840322	KHV
SAME1840075	ACB
SAME1839036	ACB
SAME1840297	ACB
SAME1840139	GWD
SAME1839947	GWD
SAME1839918	GWD
SAME1839441	ESN
SAME1839837	GWD
SAME1839804	GWD
SAME1839475	GWD
SAME1839471	GWD
SAME1839304	PJL
SAME1839277	PJL
SAME1840384	GWD
SAME1840073	GWD
SAME1839454	GWD
SAME1839254	GWD
SAME1839235	GWD
SAME1839346	GWD
SAME1839737	PJL
SAME1839857	PJL
SAME1839022	PJL
SAME1840288	PJL
SAME1839137	PJL
SAME1840245	BEB
SAME1840060	PJL
SAME1839789	PJL
SAME1839096	ESN
SAME1839068	ESN
SAME1840271	ESN
SAME1839611	GWD
SAME1839635	GWD
SAME1840374	MSL
SAME1840022	ESN
SAME1839760	ESN
SAME1839686	ESN
SAME1839468	ESN
SAME1839496	MSL
SAME1839434	MSL
SAME1839228	MSL
SAME1839812	ESN
SAME1840221	ESN
SAME1839340	MSL
SAME1839038	MSL
SAME1840338	MSL
SAME1839232	PJL
SAME1839360	PJL
SAME1839174	GWD
SAME1840107	MSL
SAME1840123	MSL
SAME1839923	MSL
SAME1840043	MSL
SAME1840303	GWD
SAME1840083	ESN
SAME1840068	ESN
SAME1839921	ESN
SAME1839551	MSL
SAME1839192	ESN
SAME1840392	ESN
SAME1840226	ESN
SAME1840354	ESN
SAME1839900	ESN
SAME1839467	ESN
SAME1839299	MSL
SAME1840190	ESN
SAME1840007	GWD
SAME1839556	MSL
SAME1839643	STU
SAME1839508	PJL
SAME1839458	MSL
SAME1839283	MSL
SAME1839185	BEB
SAME1840229	BEB
SAME1839951	BEB
SAME1839218	PJL
SAME1839020	STU
SAME1840329	STU
SAME1839670	MSL
SAME1839219	ESN
SAME1840150	ESN
SAME1839575	PJL
SAME1839426	BEB
SAME1839459	BEB
SAME1839241	BEB
SAME1839280	STU
SAME1839780	PJL
SAME1839894	STU
SAME1839825	ITU
SAME1840406	ITU
SAME1840344	ITU
SAME1840112	ITU
SAME1840268	STU
SAME1840366	STU
SAME1840135	STU
SAME1840212	ITU
SAME1839912	ITU
SAME1839595	BEB
SAME1839540	BEB
SAME1839405	BEB
SAME1839073	STU
SAME1839369	ITU
SAME1839255	ITU
SAME1839187	STU
SAME1840270	STU
SAME1840021	STU
SAME1839806	STU
SAME1840330	BEB
SAME1840368	STU
SAME1840132	STU
SAME1839851	ITU
SAME1839630	STU
SAME1840158	ITU
SAME1840095	ITU
SAME1839961	ITU
SAME1840239	STU
SAME1840055	ITU
SAME1840077	ITU
SAME1839093	BEB
SAME1839025	BEB
SAME1839216	BEB
SAME1839416	STU
SAME125338	CEU
SAME122860	CEU
SAME124188	CEU
SAME124767	CEU
SAME123571	CEU
SAME124931	CEU
SAME124963	CEU
SAME124342	CEU
SAME124546	CEU
SAME125317	CEU
SAME1839147	ITU
SAME1839936	ITU
SAME1840059	ITU
SAME1839559	STU
SAME1839818	BEB
SAME1839519	ITU
SAME1839379	ITU
SAME1839189	BEB
SAME1840389	BEB
SAME1840036	BEB
SAME1839328	ITU
SAME1839359	ITU
SAME1840274	ITU
SAME124828	CEU
SAME123515	CEU
SAME123872	CEU
SAME124257	CEU
SAME123275	CEU
SAME124384	CEU
SAME125358	CEU
SAME124454	CEU
SAME125263	CEU
SAME124640	CEU
SAME124641	CEU
SAME125157	CEU
SAME123191	CEU
SAME124116	CEU
SAME124935	CEU
SAME125132	CEU
SAME124553	CEU
SAME123045	CEU
SAME122838	CEU
SAME125096	CEU
SAME124955	CEU
SAME125371	CEU
SAME123965	CEU
SAME125144	CEU
SAME122828	CEU
SAME123021	CEU
SAME124888	YRI
SAME123566	YRI
SAME124673	CHB
SAME124098	YRI
SAME124059	YRI
SAME125055	YRI
SAME125060	YRI
SAME124875	CHB
SAME124779	CHB
SAME123222	CHB
SAME123653	CHB
SAME123740	CHB
SAME123735	CHB
SAME123228	CHB
SAME124089	CHB
SAME124092	CHB
SAME123921	CHB
SAME124481	CHB
SAME123774	CHB
SAME124266	CHB
SAME124697	CHB
SAME124694	CHB
SAME122979	CHB
SAME122978	CHB
SAME123916	CHB
SAME124735	YRI
SAME125260	CHB
SAME124106	CHB
SAME124260	JPT
SAME124259	LWK
SAME124851	LWK
SAME123543	LWK
SAME124666	LWK
SAME125118	YRI
SAME124904	YRI
SAME125105	YRI
SAME125108	YRI
SAME125308	YRI
SAME123562	YRI
SAME123403	YRI
SAME123959	JPT
SAME123953	JPT
SAME123764	JPT
SAME123767	JPT
SAME124897	JPT
SAME124890	JPT
SAME124477	JPT
SAME124474	JPT
SAME123203	YRI
SAME124314	JPT
SAME125243	LWK
SAME125027	JPT
SAME123005	JPT
SAME124317	JPT
SAME124111	JPT
SAME124110	JPT
SAME125073	JPT
SAME125070	JPT
SAME125386	YRI
SAME125221	YRI
SAME125219	YRI
SAME124999	YRI
SAME123688	YRI
SAME123500	YRI
SAME123495	YRI
SAME124985	LWK
SAME123449	LWK
SAME123310	LWK
SAME123366	JPT
SAME123172	YRI
SAME123633	YRI
SAME123373	YRI
SAME124605	YRI
SAME124839	YRI
SAME123955	YRI
SAME123838	YRI
SAME122943	YRI
SAME124050	YRI
SAME122987	YRI
SAME122984	YRI
SAME125016	YRI
SAME125231	YRI
SAME125235	YRI
SAME123835	JPT
SAME122817	JPT
SAME122823	JPT
SAME123369	JPT
SAME124887	YRI
SAME123119	LWK
SAME123655	ASW
SAME123442	MXL
SAME123123	MXL
SAME124234	ASW
SAME124449	ASW
SAME124445	MXL
SAME125311	MXL
SAME123637	LWK
SAME124036	LWK
SAME123854	LWK
SAME123849	LWK
SAME122791	MXL
SAME122935	MXL
SAME124231	ASW
SAME123130	MXL
SAME122961	MXL
SAME122795	MXL
SAME124272	LWK
SAME124494	LWK
SAME124491	LWK
SAME123473	LWK
SAME123722	LWK
SAME124341	LWK
SAME125412	LWK
SAME123298	LWK
SAME123294	LWK
SAME124915	LWK
SAME125100	LWK
SAME124470	LWK
SAME123900	ASW
SAME122884	ASW
SAME123617	ASW
SAME124582	ASW
SAME123144	MXL
SAME123153	MXL
SAME123326	MXL
SAME123329	MXL
SAME124692	MXL
SAME124868	MXL
SAME123482	MXL
SAME123898	MXL
SAME124069	MXL
SAME124062	MXL
SAME124719	MXL
SAME123700	MXL
SAME123697	MXL
SAME125030	ASW
SAME125047	ASW
SAME125052	ASW
SAME123943	ASW
SAME124194	ASW
SAME125271	ASW
SAME124710	ASW
SAME124376	ASW
SAME124379	ASW
SAME123603	ASW
SAME123810	ASW
SAME124575	TSI
SAME124571	TSI
SAME123611	TSI
SAME123817	TSI
SAME123820	TSI
SAME124788	ASW
SAME124951	ASW
SAME124358	TSI
SAME124361	TSI
SAME124014	TSI
SAME124172	TSI
SAME124163	TSI
SAME125148	TSI
SAME124397	ASW
SAME124407	ASW
SAME124595	ASW
SAME124597	ASW
SAME124558	TSI
SAME123179	TSI
SAME124018	TSI
SAME125364	TSI
SAME125361	TSI
SAME125190	TSI
SAME125094	TSI
SAME124363	TSI
SAME124370	TSI
SAME122866	TSI
SAME124173	TSI
SAME123077	TSI
SAME122893	TSI
SAME124511	GIH
SAME123878	GIH
SAME123668	GIH
SAME123141	GIH
SAME123597	GIH
SAME123594	GIH
SAME124531	GIH
SAME124434	GIH
SAME124181	GIH
SAME123585	GIH
SAME124028	GIH
SAME122919	GIH
SAME122918	GIH
SAME123139	GIH
SAME123323	GIH
SAME123324	GIH
SAME124441	GIH
SAME123246	GIH
SAME123804	GIH
SAME123809	GIH
SAME124025	GIH
SAME124038	GIH
SAME125151	GBR
SAME125161	GBR
SAME125339	GBR
SAME125344	GBR
SAME122876	GBR
SAME122871	GBR
SAME124594	GBR
SAME124585	GBR
SAME124780	GBR
SAME124957	FIN
SAME123067	GBR
SAME123060	GBR
SAME124395	GBR
SAME124390	GBR
SAME124122	GBR
SAME123223	GBR
SAME123220	GBR
SAME123050	GBR
SAME123056	GBR
SAME123583	GBR
SAME123576	FIN
SAME123794	FIN
SAME123798	FIN
SAME123986	FIN
SAME123983	FIN
SAME123419	FIN
SAME123425	FIN
SAME122831	FIN
SAME124923	FIN
SAME125121	FIN
SAME125125	FIN
SAME122836	FIN
SAME124336	FIN
SAME123640	FIN
SAME123342	CHS
SAME123361	CHS
SAME123522	CHS
SAME123395	CHS
SAME124353	CHS
SAME124343	CHS
SAME124253	PUR
SAME124829	CHS
SAME125009	CHS
SAME125006	CHS
SAME122992	CHS
SAME122807	CHS
SAME125261	CHS
SAME124746	FIN
SAME123030	FIN
SAME123156	CHS
SAME124190	CHS
SAME123885	CHS
SAME125159	CHS
SAME123496	CHS
SAME125369	CHS
SAME125199	CHS
SAME125194	CHS
SAME1839278	CHS
SAME124258	CHS
SAME124537	FIN
SAME124540	FIN
SAME123550	CDX
SAME123399	CDX
SAME123540	CDX
SAME124319	CDX
SAME123770	CDX
SAME123523	CDX
SAME123728	CDX
SAME123169	PUR
SAME123180	PUR
SAME123251	CHS
SAME123241	CHS
SAME123606	CHS
SAME123079	CHS
SAME122903	CHS
SAME123650	PUR
SAME123435	PUR
SAME123890	CHS
SAME123893	CHS
SAME123161	CHS
SAME123042	PUR
SAME1840188	PUR
SAME125020	CDX
SAME124458	CDX
SAME122928	CHS
SAME125334	CHS
SAME123112	CHS
SAME1840267	CHS
SAME124070	PUR
SAME123013	PUR
SAME125395	PUR
